behavior_id,customer_id,behavior_date,behavior_type,product_id,session_duration,pages_viewed,cart_value
86,272,2025-12-26T20:56:33.249270,add_to_cart,88.0,641,13,86.12
87,1184,2025-10-16T02:34:24.549053,search,66.0,543,10,70.1
88,1899,2026-01-01T05:58:32.106285,add_to_cart,11.0,730,11,191.67
89,975,2025-09-05T22:55:32.518752,wishlist,152.0,887,7,460.29
90,1500,2025-10-20T00:42:37.710388,wishlist,94.0,707,14,437.77
91,370,2025-12-18T01:50:34.048342,search,137.0,380,13,391.39
92,829,2026-06-18T09:43:07.458841,purchase,47.0,732,14,497.94
93,1901,2026-01-31T04:13:30.414888,purchase,16.0,20,2,399.33
94,446,2025-11-03T18:11:06.334958,purchase,86.0,306,9,109.05
95,234,2026-05-15T22:02:21.229872,purchase,49.0,729,11,336.07
96,1792,2025-10-13T05:45:02.422858,add_to_cart,142.0,839,15,210.34
97,381,2026-04-09T20:11:28.813072,view,150.0,737,3,438.14
98,1502,2025-12-12T02:14:20.371421,search,86.0,325,15,209.32
99,1584,2025-10-06T13:47:50.389346,purchase,83.0,150,3,151.62
100,1997,2025-09-01T14:43:40.223342,purchase,95.0,613,4,304.75
101,1747,2025-12-19T22:15:49.039080,search,99.0,365,6,298.8
102,1751,2025-11-29T22:21:03.817248,search,21.0,371,4,107.33
103,1909,2025-10-09T07:30:55.538610,review,1.0,823,15,440.24
104,1956,2026-06-07T02:01:06.743154,review,170.0,727,14,332.39
105,1183,2025-09-07T17:23:18.348326,view,112.0,238,14,336.22
106,1879,2026-01-20T15:28:05.186239,purchase,76.0,581,4,155.82
107,108,2025-12-27T19:04:25.133315,review,23.0,765,14,48.25
108,1811,2025-08-15T11:09:41.347142,wishlist,176.0,67,8,158.39
109,412,2025-08-08T01:54:59.527386,search,170.0,590,5,426.84
110,682,2026-06-29T17:52:46.556045,purchase,132.0,823,13,107.62
111,1133,2026-02-06T15:28:00.703743,review,69.0,365,10,233.59
112,1119,2026-05-09T18:19:48.640951,wishlist,18.0,265,10,468.0
113,19,2025-10-18T20:15:39.048469,wishlist,100.0,244,6,217.64
114,1166,2025-10-27T08:49:13.861182,purchase,167.0,372,12,63.31
115,510,2026-02-27T04:04:13.274546,add_to_cart,13.0,634,11,352.53
116,235,2026-01-27T01:11:28.094606,view,36.0,512,9,370.5
117,1667,2026-02-03T22:17:44.650750,purchase,163.0,372,8,473.31
118,1778,2025-09-22T00:25:04.498726,review,128.0,884,4,495.08
119,47,2026-05-05T19:19:13.947913,review,179.0,437,1,320.41
120,88,2025-10-13T12:44:09.943444,search,129.0,751,6,451.71
121,1671,2025-07-20T19:16:42.956503,search,,424,1,99.19
122,448,2025-07-10T05:00:09.216975,purchase,195.0,750,7,244.28
123,1787,2025-09-05T08:18:48.751787,purchase,140.0,71,13,201.18
124,914,2026-03-12T02:43:19.177682,view,117.0,582,5,102.76
125,249,2026-06-18T17:47:12.618757,purchase,30.0,353,2,436.12
126,1466,2026-06-24T22:31:12.630334,wishlist,7.0,846,5,117.69
127,1844,2026-06-14T07:48:38.482410,add_to_cart,139.0,627,8,217.68
128,529,2026-03-27T09:04:45.711267,add_to_cart,144.0,373,10,340.39
129,902,2025-10-13T04:19:50.395629,add_to_cart,106.0,499,14,200.57
130,274,2026-06-28T05:12:44.879764,view,133.0,514,13,457.11
131,358,2026-06-18T02:42:27.799742,purchase,131.0,304,13,128.38
132,242,2025-09-04T11:58:07.874351,add_to_cart,72.0,720,5,462.29
133,381,2025-07-19T10:54:50.641394,wishlist,144.0,731,10,351.38
134,180,2025-09-28T20:54:34.026150,search,125.0,57,13,101.28
135,901,2026-06-22T12:37:46.924110,purchase,186.0,669,6,222.51
136,1907,2025-11-22T23:48:18.845766,add_to_cart,14.0,721,8,269.3
137,847,2025-07-21T17:12:50.107397,wishlist,86.0,342,1,38.64
138,1280,2025-07-22T02:47:40.413033,search,105.0,397,6,35.16
139,20,2026-04-21T08:57:16.291559,view,130.0,355,7,287.71
140,68,2025-09-10T08:37:54.664582,review,13.0,421,7,430.25
141,388,2025-08-26T15:47:32.213000,review,122.0,457,13,377.88
142,710,2026-02-17T02:48:25.289638,view,65.0,810,7,442.23
143,1031,2026-02-10T10:04:20.781913,review,102.0,682,14,260.28
144,886,2026-02-24T09:07:53.827304,purchase,181.0,224,7,186.32
145,1762,2025-11-26T05:40:18.991592,review,190.0,199,14,172.75
146,933,2025-12-29T03:39:58.239745,purchase,146.0,321,9,318.3
147,36,2025-10-31T00:01:15.816546,view,180.0,527,2,465.08
148,471,2025-08-21T14:21:28.492149,wishlist,99.0,644,13,56.66
149,1011,2026-02-19T01:40:47.560501,purchase,53.0,845,13,97.76
150,280,2026-01-29T01:35:10.546844,add_to_cart,19.0,472,3,26.91
151,1507,2025-09-25T05:52:27.528140,wishlist,70.0,15,14,116.29
152,1274,2025-08-12T02:11:00.557648,add_to_cart,128.0,313,7,268.3
153,436,2025-12-28T14:55:00.241320,search,131.0,253,2,294.31
154,512,2026-06-29T02:05:15.918592,wishlist,6.0,679,5,247.77
155,421,2026-02-12T22:32:14.729463,review,48.0,433,9,235.96
156,1774,2025-07-24T20:51:53.399137,wishlist,172.0,33,15,281.58
157,642,2026-01-05T12:55:42.473617,review,163.0,808,10,403.02
158,895,2025-10-23T22:51:29.330648,view,174.0,456,14,295.18
159,1758,2025-08-17T22:16:56.136623,add_to_cart,52.0,376,4,236.96
160,121,2026-04-10T07:20:36.448281,review,2.0,751,7,482.2
161,919,2026-04-08T19:21:09.911741,wishlist,52.0,835,1,367.3
162,1328,2025-10-27T07:33:44.663452,review,139.0,796,14,466.61
163,692,2025-09-11T03:17:55.992687,view,77.0,221,15,442.72
164,258,2025-12-05T14:48:37.733349,add_to_cart,102.0,821,1,1.85
165,1300,2025-10-22T02:20:01.754836,search,190.0,814,8,238.93
166,805,2026-06-05T04:50:49.265093,purchase,99.0,446,14,394.68
167,923,2026-04-13T14:47:03.907792,review,86.0,623,8,374.38
168,1962,2025-07-30T12:41:36.969577,search,4.0,183,15,168.89
169,1636,2026-01-15T08:40:56.232548,review,27.0,376,8,239.42
170,444,2025-07-07T14:52:26.777886,purchase,1.0,628,10,462.69
171,23,2025-09-29T00:10:30.707140,purchase,48.0,704,12,327.32
172,1976,2025-10-12T14:59:03.831095,view,31.0,171,10,105.65
173,183,2025-12-18T04:17:28.060991,search,109.0,36,15,134.11
174,348,2026-03-19T14:47:25.358388,purchase,60.0,301,14,97.29
175,977,2025-12-07T12:31:52.874746,add_to_cart,165.0,203,8,136.37
176,937,2026-04-06T11:59:00.609957,wishlist,39.0,798,5,249.98
177,1320,2026-02-11T00:14:51.944484,search,67.0,511,7,213.54
178,467,2026-01-19T08:11:11.367872,wishlist,115.0,87,10,172.96
179,241,2025-10-11T01:14:34.309749,wishlist,46.0,311,6,343.22
180,1903,2025-10-01T06:37:05.239424,view,157.0,728,14,277.25
181,1790,2025-08-01T19:01:56.345155,search,20.0,807,3,225.17
182,742,2026-04-09T22:42:33.417257,view,160.0,879,4,258.92
183,571,2025-11-27T21:42:40.985148,wishlist,133.0,748,11,134.45
184,743,2026-01-04T03:20:32.967771,add_to_cart,187.0,566,2,319.1
185,1134,2025-07-07T19:11:39.722598,wishlist,67.0,292,9,230.79
186,494,2026-03-13T05:47:48.111916,wishlist,9.0,316,7,400.77
187,1141,2025-09-05T12:52:32.189130,add_to_cart,195.0,202,11,491.19
188,1382,2026-01-27T10:35:55.657902,search,136.0,781,8,198.85
189,1487,2025-07-19T12:39:46.370878,add_to_cart,87.0,371,15,387.28
190,536,2025-08-21T19:11:34.411344,search,37.0,575,14,140.3
191,255,2025-11-26T19:16:00.591386,wishlist,119.0,471,6,445.8
192,1014,2025-11-29T02:57:05.477732,search,164.0,151,4,73.57
193,477,2025-10-26T04:16:14.512690,purchase,134.0,49,13,350.09
194,865,2025-11-08T16:15:34.753853,search,78.0,263,1,22.56
195,970,2025-11-25T12:05:30.839731,add_to_cart,171.0,555,3,433.61
196,309,2026-02-14T13:38:40.061589,purchase,167.0,694,11,26.9
197,333,2026-06-26T14:04:18.413760,review,67.0,243,10,257.88
198,1271,2026-07-02T19:20:16.433613,view,180.0,630,4,319.83
199,1198,2026-02-15T16:58:31.292821,wishlist,79.0,129,14,46.92
200,1779,2026-04-08T00:27:48.108221,review,11.0,885,5,385.87
201,281,2025-12-27T00:31:47.434550,wishlist,103.0,27,3,373.61
202,1541,2026-06-26T23:39:58.093738,view,129.0,883,3,248.24
203,1449,2026-05-01T20:21:50.826301,view,81.0,363,7,329.05
204,1528,2025-07-28T12:23:28.424201,wishlist,146.0,143,10,123.13
205,1638,2026-06-30T09:20:49.884050,view,172.0,382,4,148.52
206,527,2025-08-01T12:17:50.577296,add_to_cart,89.0,888,3,244.31
207,211,2025-11-16T20:49:08.600495,add_to_cart,12.0,750,12,320.29
208,318,2025-07-15T03:06:24.061821,wishlist,137.0,711,9,56.61
209,481,2026-02-07T09:33:43.282390,review,57.0,57,12,246.65
210,758,2025-10-01T03:15:00.263407,add_to_cart,159.0,724,11,373.81
211,739,2025-12-17T11:20:08.302406,purchase,91.0,337,11,492.91
212,575,2025-08-17T04:49:16.392587,view,98.0,849,6,470.97
213,198,2025-08-09T08:18:54.687124,review,14.0,768,12,389.63
214,474,2026-06-20T16:51:32.502905,purchase,60.0,816,2,119.65
215,831,2026-06-15T05:04:40.133672,wishlist,177.0,850,2,312.22
216,604,2025-07-14T21:10:07.733817,review,54.0,254,7,158.28
217,1691,2026-05-08T17:12:28.674326,search,170.0,725,3,452.94
218,430,2026-03-30T15:55:39.771228,purchase,19.0,578,6,154.06
219,1174,2025-10-01T17:06:05.045397,purchase,135.0,442,13,472.0
220,1757,2026-06-21T11:47:55.534590,wishlist,174.0,356,6,27.05
221,1611,2026-01-12T09:26:01.358042,purchase,127.0,817,9,125.79
222,1709,2026-02-09T08:59:54.446322,review,29.0,252,7,71.71
223,703,2025-08-24T12:26:45.988800,purchase,194.0,460,15,116.71
224,1653,2026-01-18T22:56:03.293478,add_to_cart,126.0,326,3,349.17
225,1035,2026-05-09T05:17:34.490868,add_to_cart,32.0,626,12,71.36
226,375,2025-09-05T16:01:32.897644,review,32.0,518,14,119.1
227,1961,2025-08-20T13:32:22.756960,add_to_cart,173.0,334,7,425.02
228,626,2025-08-31T10:21:42.014368,search,194.0,85,8,3.42
229,1930,2025-10-02T02:30:28.876158,add_to_cart,192.0,625,13,4.36
230,898,2026-03-08T15:10:37.482983,search,187.0,876,14,157.35
231,423,2026-03-31T03:35:52.071820,view,142.0,791,4,296.3
232,732,2025-08-04T11:51:07.011340,view,51.0,646,12,436.75
233,1620,2026-01-24T06:06:45.329283,view,93.0,141,8,11.8
234,69,2026-01-01T05:41:12.444576,view,190.0,463,11,26.71
235,1603,2026-05-27T13:00:41.898773,purchase,50.0,278,8,71.34
236,1357,2026-04-22T18:44:19.093466,review,16.0,384,4,44.96
237,1712,2025-07-26T08:52:13.891924,wishlist,30.0,537,3,84.43
238,341,2026-01-03T05:13:39.961722,review,108.0,798,14,449.86
239,385,2025-09-25T18:25:14.999934,wishlist,65.0,149,13,240.82
240,394,2025-08-27T12:36:40.175147,wishlist,87.0,410,15,406.58
241,949,2025-09-04T05:55:21.184218,purchase,186.0,895,6,434.84
242,1006,2026-05-31T15:02:01.179926,add_to_cart,27.0,595,15,377.69
243,301,2026-02-21T07:52:38.032820,purchase,39.0,848,1,199.45
244,1951,2025-09-21T13:45:38.322428,purchase,170.0,174,6,376.77
245,1994,2026-06-21T11:06:14.921943,purchase,43.0,424,15,134.4
246,1092,2026-03-04T09:30:34.129145,review,83.0,698,7,435.49
247,383,2025-11-23T13:38:47.330052,wishlist,180.0,692,15,318.32
248,904,2026-06-20T17:45:34.342331,view,35.0,328,12,385.41
249,112,2026-02-21T16:54:08.854135,wishlist,151.0,336,11,436.9
250,1664,2025-09-21T22:21:47.368171,view,156.0,788,7,220.23
251,1675,2025-11-20T20:30:41.302554,purchase,21.0,679,11,327.77
252,510,2026-06-24T00:47:54.884846,add_to_cart,88.0,337,4,175.43
253,418,2026-02-07T16:14:16.514545,view,122.0,766,11,59.11
254,1174,2025-10-14T00:33:57.307650,wishlist,57.0,776,13,134.79
255,986,2025-08-28T07:15:44.109875,add_to_cart,75.0,440,12,341.33
256,429,2026-05-01T06:29:17.414953,view,143.0,866,5,44.2
257,4,2025-09-07T01:27:03.214907,wishlist,77.0,541,8,51.91
258,428,2025-08-25T16:55:26.793410,wishlist,5.0,819,8,183.88
259,385,2026-05-31T21:27:50.160255,search,19.0,215,1,23.05
260,227,2025-10-18T19:35:03.637074,search,4.0,204,10,382.02
261,478,2025-12-28T01:14:43.983564,wishlist,2.0,739,10,1.12
262,625,2026-01-05T07:58:38.643131,wishlist,156.0,257,8,136.04
263,1274,2025-10-04T12:36:18.937420,search,16.0,233,12,318.6
264,112,2025-10-03T15:01:30.632177,purchase,131.0,358,3,73.78
265,229,2025-10-25T10:29:32.103896,view,184.0,186,4,361.65
266,1711,2025-09-30T08:53:07.719604,wishlist,43.0,870,9,494.06
267,739,2026-02-22T06:15:47.129714,wishlist,190.0,107,10,11.27
268,1626,2025-07-22T05:20:39.669287,add_to_cart,171.0,771,1,434.04
269,808,2026-05-25T17:03:02.088023,review,98.0,710,15,196.14
270,638,2026-03-13T19:53:41.953344,search,189.0,454,12,203.31
271,1184,2025-09-23T08:29:55.652855,add_to_cart,103.0,443,3,291.48
272,538,2025-08-24T21:01:53.748215,review,136.0,136,2,217.1
273,1456,2026-03-03T16:06:39.921172,wishlist,100.0,10,11,417.4
274,1138,2025-11-03T19:09:07.562038,view,157.0,653,14,410.04
275,109,2025-08-11T18:53:47.712267,wishlist,112.0,212,8,287.82
276,1888,2026-02-28T17:13:31.226844,search,161.0,594,14,446.51
277,1723,2026-06-08T15:56:50.191064,search,81.0,726,15,115.29
278,1291,2026-06-11T20:28:10.759902,review,59.0,844,12,335.1
279,1204,2026-01-14T21:06:05.625303,search,71.0,448,6,251.65
280,1431,2025-10-25T15:01:10.800345,view,73.0,133,1,422.42
281,567,2025-10-13T12:50:17.236596,view,106.0,688,4,193.51
282,87,2026-06-02T11:05:45.800426,purchase,32.0,651,3,432.39
283,897,2026-05-01T14:30:46.347752,search,141.0,743,14,338.5
284,1538,2025-09-24T03:04:33.423579,view,56.0,516,11,12.31
285,1584,2026-02-18T18:09:31.423830,purchase,12.0,380,5,437.08
286,568,2026-04-26T05:09:09.502437,purchase,54.0,343,7,465.61
287,1564,2026-04-24T23:54:11.005161,add_to_cart,63.0,823,11,435.11
288,1120,2026-03-17T03:25:23.514655,wishlist,105.0,62,7,437.71
289,1982,2026-03-30T02:02:33.504830,wishlist,49.0,747,7,285.75
290,1508,2026-01-10T10:48:12.117596,add_to_cart,27.0,591,2,367.09
291,179,2025-08-05T14:47:56.124772,view,173.0,561,15,14.41
292,1801,2026-04-03T19:22:22.262878,add_to_cart,12.0,388,9,57.77
293,1327,2026-03-22T08:27:24.621488,search,73.0,372,13,343.15
294,866,2026-06-13T11:32:05.348759,wishlist,90.0,398,12,42.99
295,764,2025-10-19T16:48:03.140149,purchase,125.0,42,12,422.34
296,912,2026-06-03T13:19:08.119059,search,77.0,670,15,178.95
297,1812,2026-03-04T00:56:05.667956,view,199.0,464,9,206.71
298,1810,2025-10-16T09:49:08.509805,add_to_cart,143.0,480,1,44.12
299,1726,2026-04-28T21:48:19.380413,wishlist,90.0,332,11,82.35
300,928,2025-09-06T10:46:23.418355,search,6.0,613,13,118.83
301,975,2025-12-12T21:08:58.549481,review,183.0,680,11,422.33
302,1286,2025-09-26T20:24:59.775723,review,39.0,730,7,429.49
303,377,2026-04-28T04:49:19.051035,search,49.0,214,6,320.17
304,631,2026-01-01T22:51:51.972603,review,128.0,819,1,208.57
305,1695,2025-09-02T22:29:50.557370,view,43.0,54,5,161.03
306,810,2026-01-09T10:19:45.203080,purchase,129.0,899,2,429.87
307,389,2026-01-07T19:08:37.370967,wishlist,53.0,842,7,444.36
308,1208,2025-08-29T13:21:44.784610,purchase,186.0,576,1,60.64
309,1826,2026-04-10T00:32:05.363028,review,60.0,270,14,376.85
310,957,2025-09-24T15:24:52.612149,add_to_cart,111.0,865,8,205.39
311,1462,2026-01-01T03:33:35.301818,add_to_cart,111.0,779,10,305.35
312,701,2025-10-09T18:01:05.612857,search,76.0,473,14,473.32
313,1352,2026-01-22T00:30:41.175148,search,152.0,835,10,143.26
314,1192,2026-04-30T18:57:34.865973,view,110.0,775,15,35.54
315,1600,2026-05-02T03:02:57.883539,purchase,165.0,340,4,476.86
316,1616,2026-02-12T12:55:58.946561,wishlist,110.0,144,11,145.95
317,996,2026-02-14T07:36:27.283698,view,8.0,393,12,276.6
318,789,2025-12-01T23:47:17.322450,search,89.0,637,8,432.4
319,1153,2025-12-13T10:19:32.628016,wishlist,42.0,182,8,10.22
320,1327,2025-11-17T11:15:03.704892,view,89.0,498,15,190.78
321,1397,2025-08-05T11:06:44.192430,wishlist,104.0,793,7,48.25
322,44,2026-06-14T06:27:00.164819,search,148.0,239,3,396.5
323,1971,2025-11-08T15:48:44.441449,wishlist,185.0,700,4,392.5
324,566,2026-04-13T10:04:28.662865,purchase,62.0,8,5,387.16
325,108,2026-02-08T03:15:59.151231,add_to_cart,31.0,412,12,396.82
326,1634,2025-10-17T22:08:13.972421,purchase,63.0,545,6,241.34
327,171,2026-03-30T22:29:05.640352,view,69.0,810,5,427.79
328,1586,2025-08-26T14:41:13.471771,add_to_cart,193.0,834,2,34.86
329,288,2026-07-04T20:31:31.845612,wishlist,,555,1,159.98
330,206,2026-06-01T06:12:08.263722,view,134.0,797,14,168.38
331,464,2025-12-22T08:33:19.768381,purchase,106.0,542,7,151.03
332,880,2025-09-25T10:00:31.290961,wishlist,62.0,549,10,461.35
333,156,2025-08-28T18:43:27.472510,add_to_cart,52.0,546,15,370.4
334,1636,2026-01-27T11:22:41.489057,add_to_cart,173.0,37,3,192.24
335,639,2025-09-03T21:33:48.981943,wishlist,52.0,21,9,19.92
336,596,2025-09-28T13:44:30.567692,purchase,123.0,839,4,318.47
337,288,2026-06-27T05:06:40.333546,review,14.0,739,6,363.58
338,791,2025-10-06T19:50:07.347723,view,74.0,272,8,428.89
339,580,2025-09-22T00:30:57.704731,view,136.0,553,10,219.63
340,232,2025-12-30T08:41:19.491073,wishlist,123.0,875,5,238.95
341,1617,2025-11-12T01:54:53.027400,search,108.0,716,3,301.09
342,1380,2026-07-02T09:26:21.711563,view,46.0,693,3,327.07
343,1093,2025-12-16T13:23:49.095582,view,133.0,834,4,14.42
344,254,2026-02-22T04:55:29.243230,view,107.0,644,15,22.97
345,878,2026-05-02T07:52:29.917938,view,162.0,340,6,497.18
346,606,2025-09-24T02:21:42.069692,wishlist,117.0,337,8,33.3
347,68,2026-01-19T21:13:15.243346,add_to_cart,196.0,533,1,117.25
348,855,2025-08-08T21:22:26.662220,search,76.0,428,8,3.33
349,1119,2026-06-25T02:47:09.766387,search,101.0,287,2,86.94
350,1735,2025-09-15T16:51:27.488274,add_to_cart,19.0,541,7,168.01
351,298,2026-05-31T06:49:07.430497,wishlist,59.0,674,8,437.6
352,1635,2025-08-14T06:33:17.804681,wishlist,174.0,439,2,14.33
353,1407,2026-06-02T23:44:47.042445,review,68.0,273,1,301.83
354,1340,2025-11-25T08:57:55.846973,wishlist,67.0,119,1,51.19
355,1912,2025-09-22T21:25:30.543033,review,140.0,234,14,376.98
356,1814,2025-08-28T03:28:03.769897,wishlist,131.0,353,9,161.35
357,1176,2026-06-06T05:28:12.356525,review,76.0,122,5,43.09
358,744,2025-10-06T07:00:57.558810,search,149.0,292,7,65.58
359,503,2026-06-13T18:10:26.357286,review,157.0,884,1,493.77
360,1941,2026-03-16T21:09:40.746972,wishlist,52.0,464,3,214.45
361,457,2026-02-15T21:56:57.106559,view,90.0,103,6,321.16
362,329,2025-12-15T14:47:30.102669,wishlist,66.0,140,7,135.24
363,446,2025-11-11T17:09:54.646099,review,169.0,598,14,162.84
364,1543,2025-12-15T00:36:06.477553,review,31.0,755,15,369.35
365,1610,2025-11-12T13:43:08.624350,view,190.0,288,6,407.43
366,440,2025-08-14T06:15:09.677488,view,171.0,580,1,195.49
367,288,2026-05-19T00:31:01.905748,review,149.0,564,9,169.27
368,719,2025-08-09T08:12:32.673081,review,98.0,793,6,406.71
369,1978,2026-02-18T08:39:50.689972,view,110.0,367,1,324.24
370,233,2025-08-06T21:00:01.743860,wishlist,85.0,9,2,346.41
371,865,2026-01-19T08:21:42.755351,add_to_cart,53.0,702,3,484.53
372,211,2026-06-02T21:18:38.921301,purchase,158.0,470,10,143.29
373,1613,2026-04-20T10:10:35.433228,add_to_cart,167.0,440,12,223.56
374,835,2025-09-26T21:10:44.961066,review,110.0,101,4,334.86
375,138,2025-11-16T20:25:05.701401,add_to_cart,95.0,888,1,394.6
376,1043,2025-09-05T02:38:16.744812,purchase,75.0,241,9,90.09
377,1145,2026-02-22T02:13:15.394506,search,95.0,133,15,329.4
378,1578,2026-04-23T05:16:21.971167,wishlist,166.0,749,4,360.6
379,866,2025-11-06T03:40:51.665629,add_to_cart,8.0,115,8,303.2
380,867,2025-08-19T20:32:38.588933,add_to_cart,77.0,261,2,145.63
381,866,2025-11-05T14:12:08.599717,purchase,187.0,338,12,146.05
382,662,2026-01-23T09:58:55.604652,search,51.0,96,10,206.38
383,1011,2025-08-16T12:20:08.286556,add_to_cart,129.0,609,9,36.79
384,351,2026-04-15T02:40:22.489502,review,181.0,448,5,114.41
