session_id,customer_id,session_date,duration_seconds,pages_visited,source,device_type,bounce
29,1467.0,2026-05-03T11:36:00.219914,2880,12,organic,tablet,False
30,56.0,2025-12-31T05:56:18.536434,1382,18,social,mobile,False
31,1138.0,2025-09-16T18:04:47.340089,2302,12,social,tablet,False
32,1920.0,2026-02-03T00:05:44.875571,2767,3,organic,mobile,False
33,,2026-04-13T12:43:55.014386,2028,9,email,desktop,False
34,1505.0,2025-12-28T05:03:51.264211,2655,13,email,tablet,False
35,711.0,2025-09-14T12:11:24.343448,2614,2,referral,desktop,True
36,1930.0,2026-01-16T23:57:12.222711,811,18,referral,desktop,True
37,1245.0,2026-01-28T04:24:54.642871,1044,12,email,tablet,False
38,1965.0,2025-09-18T13:58:09.403910,1315,10,social,mobile,False
39,202.0,2026-03-28T06:31:39.820651,1174,5,referral,mobile,False
40,1100.0,2026-06-23T03:08:42.660073,1128,20,paid,tablet,True
41,24.0,2025-11-03T11:17:53.990494,362,8,social,mobile,True
42,1313.0,2026-02-11T04:45:13.235549,2741,20,email,tablet,False
43,1083.0,2026-05-30T05:37:50.628086,2016,17,direct,mobile,False
44,1017.0,2026-05-03T14:07:56.373030,1059,15,paid,desktop,False
45,1058.0,2025-11-15T02:51:54.676269,2323,16,organic,mobile,False
46,257.0,2026-06-13T04:59:50.667420,3321,11,email,tablet,True
47,270.0,2026-06-26T06:28:08.744594,3265,12,social,tablet,False
48,1852.0,2025-09-30T05:56:14.825822,3191,10,direct,mobile,True
49,1239.0,2025-09-26T20:29:14.103756,1200,1,referral,desktop,False
50,,2026-06-01T01:47:32.071846,2878,3,email,tablet,True
51,315.0,2026-06-11T22:00:11.531647,2413,20,referral,desktop,False
52,562.0,2026-04-03T11:01:12.577136,771,16,referral,tablet,False
53,430.0,2025-11-19T06:46:07.865201,882,2,organic,mobile,True
54,1814.0,2025-10-12T04:26:21.012279,1393,8,organic,mobile,False
55,1431.0,2025-08-23T20:52:49.517676,2860,4,referral,tablet,False
56,1969.0,2025-09-11T03:17:25.427653,311,2,referral,mobile,False
57,1685.0,2025-12-04T20:03:29.284184,2095,7,referral,mobile,True
58,,2025-09-24T06:46:48.104309,3218,7,email,mobile,True
59,71.0,2025-11-13T04:00:14.054095,2854,18,paid,tablet,False
60,1704.0,2025-12-05T23:33:35.470082,1740,14,email,desktop,False
61,647.0,2026-01-03T09:57:08.323961,2507,12,organic,mobile,False
62,1542.0,2026-01-10T19:07:34.605440,2921,13,paid,desktop,False
63,1121.0,2025-09-15T10:10:28.932391,2888,4,social,desktop,False
64,1002.0,2026-06-10T08:51:49.309459,3524,13,referral,desktop,True
65,627.0,2026-04-28T20:15:25.479211,820,18,email,desktop,False
66,1188.0,2025-12-26T02:51:00.943494,1113,12,referral,tablet,False
67,288.0,2026-04-23T03:12:40.954376,3319,13,social,desktop,False
68,1736.0,2026-04-09T18:23:38.447576,2123,4,email,tablet,False
69,778.0,2025-10-26T15:41:10.482448,803,16,social,mobile,True
70,1225.0,2026-06-08T15:04:44.926374,3118,14,paid,tablet,False
71,1327.0,2026-07-05T08:24:37.056453,2344,13,paid,mobile,False
72,582.0,2026-05-14T20:27:09.069699,2258,6,organic,mobile,True
73,1154.0,2026-01-05T12:25:33.722284,1647,12,paid,tablet,True
74,1649.0,2026-01-22T14:02:00.684444,583,5,social,mobile,False
75,355.0,2025-10-13T20:39:10.622964,781,17,direct,mobile,True
76,1934.0,2025-12-23T03:03:18.239924,1902,16,direct,tablet,False
77,49.0,2025-08-15T17:55:23.671560,61,3,paid,mobile,True
78,1378.0,2025-11-20T10:56:09.593261,257,15,direct,desktop,False
79,,2026-02-19T06:21:51.457591,1620,16,email,desktop,True
80,28.0,2025-10-29T16:39:31.281351,2669,4,organic,tablet,False
81,1055.0,2025-10-17T02:22:47.303032,3331,19,organic,mobile,False
82,,2025-11-12T21:37:51.960068,2586,14,referral,tablet,False
83,326.0,2026-03-31T03:58:17.715248,2380,17,social,desktop,False
84,371.0,2026-04-20T14:16:58.750829,1708,7,direct,mobile,False
85,,2026-05-15T20:15:08.603997,2902,15,paid,mobile,True
86,1496.0,2025-09-03T10:36:05.402102,2182,11,paid,tablet,False
87,1184.0,2025-10-09T10:00:00.515136,1841,15,direct,desktop,True
88,1563.0,2026-05-21T04:15:05.457515,3031,3,paid,tablet,False
89,79.0,2026-06-16T01:44:27.259368,2979,2,direct,tablet,False
90,,2025-12-31T00:05:28.957941,2971,13,referral,tablet,False
91,1938.0,2026-06-12T20:09:02.469941,3430,13,social,desktop,True
92,339.0,2025-11-29T18:35:49.174664,2818,7,social,desktop,True
93,,2026-04-02T20:39:26.047159,364,2,email,desktop,True
94,1539.0,2026-03-16T12:46:19.749093,341,3,paid,tablet,False
95,1107.0,2026-06-10T21:52:54.829073,2116,14,social,mobile,False
96,90.0,2025-10-25T23:55:00.258389,1985,8,direct,tablet,True
97,1507.0,2025-12-05T18:11:52.863625,1637,17,organic,mobile,True
98,1205.0,2026-01-11T06:11:08.247641,2834,15,organic,mobile,True
99,1561.0,2026-02-08T02:52:46.154716,489,6,paid,tablet,False
100,1276.0,2026-03-28T22:06:46.734743,2910,1,social,mobile,False
101,1765.0,2025-08-29T18:05:34.779712,1969,20,social,desktop,False
102,291.0,2025-09-23T07:50:36.964697,3002,15,paid,desktop,False
103,1788.0,2026-01-10T07:48:40.145523,11,5,email,tablet,False
104,1655.0,2025-11-28T02:40:59.270146,1038,9,referral,desktop,False
105,168.0,2025-09-28T23:10:56.304361,1690,9,paid,tablet,True
106,287.0,2026-05-19T07:24:00.110724,1684,6,organic,tablet,False
107,1922.0,2026-06-17T17:13:54.921550,1506,19,referral,mobile,False
108,295.0,2025-07-17T03:29:09.482510,1036,13,direct,tablet,True
109,,2025-08-10T23:05:06.952952,787,5,organic,desktop,True
110,734.0,2026-03-07T08:06:21.916368,230,7,paid,desktop,False
111,1562.0,2026-01-19T17:05:33.125492,2942,16,referral,mobile,False
112,1973.0,2025-09-08T00:25:02.758602,2082,4,social,desktop,False
113,179.0,2026-02-28T20:27:00.385277,417,15,direct,desktop,False
114,902.0,2026-01-29T12:09:31.127401,1348,12,direct,mobile,False
115,111.0,2026-03-28T15:43:49.762008,565,10,direct,desktop,False
116,1589.0,2026-03-29T08:38:17.023158,431,1,referral,mobile,True
117,853.0,2026-06-07T06:10:00.708329,411,20,referral,tablet,False
118,801.0,2025-07-19T05:25:31.081772,947,5,email,tablet,False
119,1849.0,2025-07-16T19:24:48.141966,2680,13,referral,tablet,False
120,1590.0,2025-11-12T09:35:35.990965,1389,5,social,desktop,True
121,869.0,2025-12-09T11:52:15.892737,174,8,referral,desktop,False
122,1950.0,2026-02-27T08:59:37.117428,716,17,organic,desktop,False
123,1938.0,2025-12-16T13:43:04.984235,576,18,direct,mobile,True
124,262.0,2026-05-03T21:08:14.719358,1909,3,direct,mobile,False
125,1428.0,2026-03-06T06:07:54.251498,1154,8,direct,mobile,True
126,1224.0,2026-01-18T06:09:20.390691,2899,6,paid,tablet,True
127,1727.0,2026-03-06T18:38:06.486521,2979,7,organic,desktop,False
128,1076.0,2025-12-02T04:03:19.165273,2263,18,organic,desktop,False
129,1865.0,2025-07-23T13:33:43.876458,1067,8,email,mobile,True
130,1561.0,2026-01-21T05:39:00.327808,743,5,paid,desktop,False
131,247.0,2025-12-10T01:38:45.959248,820,8,paid,desktop,False
132,190.0,2026-02-03T13:36:41.211977,3072,3,organic,tablet,False
133,324.0,2026-05-25T02:52:37.195769,2080,18,email,desktop,True
134,1697.0,2025-10-03T05:44:28.591860,273,2,referral,mobile,True
135,1299.0,2026-05-04T14:44:38.374445,2382,7,social,tablet,True
136,11.0,2026-03-29T03:49:27.776785,2342,8,email,desktop,False
137,1446.0,2026-05-11T10:04:09.893389,1392,8,email,desktop,True
138,1010.0,2026-06-19T15:08:42.516573,626,5,direct,desktop,True
139,152.0,2026-05-11T15:13:25.407307,3299,18,referral,mobile,False
140,1256.0,2026-03-10T11:57:28.803288,114,16,email,tablet,False
141,42.0,2026-06-27T15:30:36.740135,765,10,direct,tablet,False
142,133.0,2026-03-15T06:16:08.383252,1175,18,social,mobile,False
143,,2026-02-07T14:30:33.006446,738,15,social,desktop,False
144,1971.0,2026-06-16T13:57:03.201528,309,1,organic,tablet,False
145,466.0,2025-07-17T20:49:43.528631,2629,9,direct,desktop,True
146,28.0,2026-06-23T18:53:39.509887,1004,19,email,desktop,True
147,1718.0,2026-04-04T06:55:41.416901,1483,12,referral,mobile,False
148,591.0,2025-08-02T15:56:02.749763,838,8,referral,tablet,False
149,179.0,2026-05-01T07:09:29.900118,2250,2,organic,mobile,False
150,366.0,2025-07-23T02:32:05.060999,272,4,direct,mobile,False
151,1941.0,2026-02-26T09:28:02.255298,3041,6,referral,desktop,True
152,,2026-06-02T21:50:48.108737,2128,8,organic,mobile,False
153,1798.0,2025-10-02T06:57:37.169641,2925,10,referral,desktop,False
154,160.0,2025-07-19T05:39:19.757723,2296,3,email,mobile,False
155,1203.0,2026-04-27T01:49:29.975315,887,2,direct,tablet,False
156,181.0,2026-01-09T08:56:05.027090,3543,15,referral,tablet,False
157,757.0,2026-01-15T08:00:01.334637,1929,16,email,desktop,True
158,928.0,2026-02-05T14:49:55.061155,670,18,referral,mobile,False
159,1355.0,2026-05-05T19:50:17.975739,1515,18,paid,desktop,False
160,448.0,2025-07-29T12:14:56.933145,751,14,organic,tablet,True
161,753.0,2025-09-25T20:38:03.417273,789,10,organic,desktop,False
162,828.0,2025-09-04T10:05:57.192836,3436,19,referral,tablet,False
163,1336.0,2026-01-14T09:46:51.580662,1604,11,organic,mobile,True
164,754.0,2025-11-12T16:15:55.780623,743,13,organic,desktop,True
165,1810.0,2026-05-15T06:19:52.199935,1628,14,email,mobile,False
166,324.0,2026-06-04T00:10:13.433330,807,19,organic,mobile,False
167,262.0,2026-05-02T04:54:02.756343,544,7,referral,tablet,True
168,1630.0,2025-09-28T05:13:07.745229,2207,11,paid,desktop,False
169,1133.0,2025-12-02T00:50:37.592450,898,17,referral,mobile,True
170,1499.0,2026-05-12T00:18:02.642487,2812,1,direct,tablet,False
171,1367.0,2026-03-05T12:33:16.258942,2891,9,email,tablet,False
172,1026.0,2026-06-19T15:39:46.004095,2504,13,paid,mobile,True
173,1883.0,2026-05-22T08:10:10.256469,1925,6,organic,desktop,True
174,587.0,2025-09-25T15:01:16.878447,2044,1,direct,mobile,True
175,1578.0,2025-08-28T18:33:30.382038,3534,14,referral,desktop,False
176,1252.0,2026-05-30T16:36:43.269296,498,12,social,tablet,False
177,1988.0,2026-04-19T19:39:18.844846,347,8,email,tablet,True
178,856.0,2026-01-03T23:26:05.220366,1050,18,social,mobile,True
179,1284.0,2026-01-31T16:51:30.960933,1636,6,organic,mobile,False
180,,2025-08-24T00:47:42.783649,2785,11,email,desktop,True
181,,2026-05-27T05:08:39.696185,1985,4,social,tablet,False
182,795.0,2025-08-18T04:15:23.671621,1795,15,email,tablet,True
183,738.0,2026-01-26T00:07:05.881475,2665,3,social,tablet,False
184,1205.0,2026-06-20T23:53:26.047222,2705,15,social,tablet,False
185,305.0,2026-01-31T18:34:59.295859,76,7,email,desktop,True
186,576.0,2025-10-04T16:30:01.346634,1693,11,organic,mobile,True
187,1874.0,2026-04-28T23:29:28.629898,943,12,email,mobile,False
188,618.0,2025-10-31T22:55:08.164110,301,4,organic,tablet,True
189,247.0,2025-07-13T13:24:22.375088,1272,11,referral,mobile,False
190,1931.0,2025-12-18T17:50:58.153073,1273,10,direct,tablet,False
191,1679.0,2026-02-14T02:34:34.131746,468,5,referral,tablet,False
192,1705.0,2025-11-11T13:55:19.034779,3179,18,direct,desktop,False
193,1315.0,2026-02-25T07:00:22.896187,3234,6,social,mobile,True
194,1935.0,2025-08-07T03:05:47.380777,808,8,paid,mobile,False
195,921.0,2025-12-21T01:44:46.397410,1241,17,email,mobile,False
196,11.0,2026-05-18T21:51:27.781322,629,5,direct,desktop,False
197,642.0,2026-02-01T03:05:25.824130,1236,6,referral,desktop,True
198,785.0,2026-03-07T00:54:17.135880,2023,11,organic,tablet,False
199,781.0,2026-03-21T19:16:43.228149,3118,6,paid,desktop,False
200,331.0,2025-11-20T20:14:27.843929,146,6,organic,tablet,True
201,,2025-10-02T23:33:45.450330,1828,4,direct,tablet,False
202,1878.0,2026-05-31T19:08:09.401619,1047,6,social,tablet,False
203,1689.0,2025-07-19T00:16:21.109875,809,3,direct,desktop,False
204,288.0,2025-10-07T12:03:46.368889,2621,5,organic,mobile,False
205,1747.0,2026-02-01T18:50:51.632818,3591,17,direct,desktop,False
206,693.0,2026-06-04T14:38:55.473856,583,15,paid,mobile,False
207,246.0,2026-06-24T03:25:16.276436,2275,3,direct,mobile,False
208,1380.0,2025-11-30T16:49:33.175675,2707,15,direct,tablet,False
209,506.0,2026-01-10T08:13:30.155079,2487,10,paid,tablet,True
210,736.0,2025-11-06T03:32:43.026154,2542,11,organic,mobile,False
211,751.0,2025-10-11T06:38:20.700784,1506,2,paid,mobile,False
212,982.0,2025-10-09T12:27:05.070685,1392,15,direct,mobile,False
213,1972.0,2026-02-26T01:37:37.728976,806,6,social,desktop,True
214,,2026-04-23T20:26:31.069578,2137,8,direct,mobile,True
215,1300.0,2026-05-04T17:56:31.653811,1291,8,social,tablet,True
216,,2025-11-01T19:15:25.740733,548,17,social,desktop,False
217,1523.0,2025-08-31T23:30:59.500221,1092,6,paid,tablet,True
218,1771.0,2025-11-01T13:32:27.389371,1823,18,paid,tablet,True
219,,2025-11-30T07:27:50.681275,898,10,paid,mobile,True
220,1121.0,2025-09-19T07:44:49.815353,1738,17,social,desktop,False
221,,2026-05-18T06:07:51.664546,3304,4,email,mobile,False
222,,2025-12-27T07:36:54.666907,3344,8,email,mobile,True
223,1983.0,2025-10-04T20:09:55.631803,2598,5,social,mobile,False
224,301.0,2026-06-13T10:20:09.527986,1223,10,referral,tablet,False
225,1603.0,2025-07-21T10:23:03.952922,917,9,organic,tablet,False
226,105.0,2026-03-29T05:43:41.427162,886,17,paid,tablet,False
227,1626.0,2025-10-13T15:36:12.232775,277,17,email,desktop,True
228,,2025-08-11T08:18:29.502280,2065,18,referral,desktop,False
229,1487.0,2026-03-06T23:49:47.444726,2066,5,direct,mobile,False
230,1465.0,2026-04-28T19:22:11.912082,1945,20,paid,tablet,True
231,1431.0,2025-08-30T12:21:27.297085,2713,16,referral,desktop,False
232,948.0,2025-10-18T00:52:19.390276,3290,19,social,desktop,True
233,,2026-03-01T08:31:07.468728,305,1,direct,mobile,False
234,449.0,2025-11-16T19:41:15.423853,3225,19,referral,desktop,True
235,1996.0,2026-04-04T05:03:50.438239,1724,8,email,mobile,True
236,711.0,2026-05-05T17:40:05.248041,2161,15,organic,mobile,False
237,1421.0,2026-06-29T17:43:04.299477,1086,15,paid,mobile,True
238,521.0,2026-06-03T02:15:51.505301,752,15,paid,desktop,True
239,945.0,2026-02-22T12:03:51.108426,239,11,organic,desktop,False
240,,2026-04-27T01:36:15.637808,2192,16,paid,desktop,False
241,650.0,2026-04-25T17:11:36.136900,2946,11,social,mobile,True
242,852.0,2026-02-07T17:32:16.500712,2736,13,social,mobile,False
243,902.0,2025-07-10T12:23:02.366831,3169,11,email,desktop,True
244,,2025-07-07T13:49:28.996830,1515,5,organic,mobile,False
245,1761.0,2025-08-07T22:34:44.805837,676,17,social,mobile,False
246,1779.0,2026-02-05T19:05:23.656935,851,14,referral,tablet,False
247,491.0,2025-08-24T04:02:55.099621,2210,19,referral,mobile,True
248,,2025-12-31T10:15:23.172655,1264,4,social,mobile,False
249,31.0,2026-03-27T00:51:33.256800,1008,11,referral,tablet,False
250,503.0,2025-08-12T10:44:30.390384,268,12,social,desktop,True
251,1232.0,2026-01-02T23:05:20.581223,581,10,organic,tablet,False
252,661.0,2026-03-02T23:10:41.358491,2394,9,social,desktop,False
253,1931.0,2025-08-10T20:15:50.330822,116,5,organic,mobile,False
254,70.0,2025-11-24T06:55:39.097017,2182,11,referral,tablet,False
255,1149.0,2025-12-05T03:07:57.816137,955,18,social,desktop,False
256,1534.0,2025-12-05T16:17:24.950729,1822,4,email,mobile,True
257,1911.0,2025-09-30T11:56:56.139583,15,8,email,tablet,False
258,524.0,2025-07-22T09:06:39.213775,361,11,social,desktop,True
259,1378.0,2025-07-19T17:55:43.085623,1878,6,email,tablet,False
260,1898.0,2025-10-09T09:01:03.605987,2389,3,email,tablet,True
261,,2026-03-15T06:25:59.893409,31,8,referral,tablet,False
262,822.0,2026-02-24T23:53:02.823104,205,7,paid,desktop,False
263,1043.0,2025-12-26T13:56:45.204380,884,11,direct,mobile,False
264,1245.0,2026-04-11T17:34:08.350572,1806,6,paid,tablet,False
265,1020.0,2025-12-19T16:19:28.769154,219,12,email,mobile,False
266,1476.0,2025-11-17T08:01:05.051352,1704,8,paid,desktop,True
267,932.0,2025-10-07T08:58:34.028789,2293,11,direct,desktop,False
268,1900.0,2025-11-19T15:46:12.505983,2372,10,organic,tablet,False
269,752.0,2025-10-01T14:09:27.583290,71,20,paid,mobile,True
270,456.0,2025-10-31T10:58:00.824830,1388,13,organic,tablet,True
271,1028.0,2026-04-03T04:45:39.920954,2663,11,direct,mobile,True
272,1259.0,2025-12-09T11:32:45.511917,3328,4,social,mobile,False
273,99.0,2025-09-04T13:07:30.150943,2199,2,social,desktop,False
274,1987.0,2025-08-30T19:07:39.526895,1212,1,referral,tablet,False
275,,2026-01-17T17:04:54.975966,3158,6,referral,tablet,False
276,428.0,2026-03-22T02:35:37.858920,2171,19,social,desktop,False
277,903.0,2025-12-20T12:07:36.661093,498,2,social,desktop,False
278,1962.0,2026-06-08T16:30:41.688537,3233,13,paid,desktop,True
279,,2025-11-24T12:04:30.396852,1714,7,email,tablet,True
280,1459.0,2025-07-26T17:59:37.911694,2541,5,referral,tablet,False
281,1579.0,2025-12-31T00:14:22.406598,2039,6,organic,tablet,True
282,786.0,2026-04-17T20:57:17.926226,2227,14,paid,mobile,False
283,126.0,2026-05-31T14:20:13.444168,2817,19,social,mobile,False
284,290.0,2026-02-01T22:55:32.102318,2221,7,social,mobile,False
285,1608.0,2026-02-01T08:47:20.995782,1095,2,email,mobile,False
286,175.0,2026-06-05T00:45:54.757286,514,1,email,desktop,False
287,582.0,2025-08-08T11:21:33.131031,662,6,social,mobile,False
288,915.0,2025-08-31T10:46:00.805033,3180,12,organic,desktop,False
289,370.0,2025-08-14T13:13:36.959849,3334,6,social,tablet,False
290,1179.0,2025-09-26T20:33:30.216641,730,2,direct,tablet,False
291,735.0,2026-01-24T19:38:30.347975,3549,15,referral,mobile,False
292,190.0,2025-11-17T20:24:58.302890,1637,18,social,mobile,True
293,1975.0,2025-10-22T19:49:08.989931,2987,12,email,mobile,False
294,706.0,2026-01-20T20:50:33.045329,2478,4,referral,mobile,False
295,444.0,2026-05-19T07:13:01.255725,2531,16,referral,mobile,True
296,1667.0,2026-02-18T09:30:31.722546,1195,11,paid,mobile,False
297,419.0,2026-06-06T15:26:25.372073,1940,4,direct,mobile,False
298,1539.0,2025-07-26T20:50:39.889797,3588,6,direct,mobile,False
299,1259.0,2025-10-27T16:17:39.541861,3363,1,social,mobile,False
300,998.0,2026-01-08T06:37:10.960690,1379,3,email,tablet,True
301,,2026-02-12T06:47:20.790864,2441,8,referral,mobile,False
302,,2025-11-29T20:07:01.507996,805,7,organic,tablet,False
303,1708.0,2025-12-11T22:24:55.614881,665,19,organic,tablet,False
304,1820.0,2026-01-23T19:02:55.806208,627,17,email,tablet,False
305,1482.0,2025-11-24T08:47:55.221164,1298,2,referral,desktop,False
306,1874.0,2025-11-17T21:47:08.020044,2204,7,organic,mobile,True
307,327.0,2026-03-07T23:35:49.654420,2728,7,paid,tablet,True
308,1966.0,2026-02-09T09:29:08.395781,2610,9,referral,tablet,False
309,1176.0,2025-10-28T19:13:20.680903,580,11,social,desktop,True
310,426.0,2025-11-21T03:40:22.776542,940,13,email,desktop,True
311,1357.0,2026-03-19T04:54:21.229829,1592,15,paid,mobile,True
312,,2026-01-28T21:39:41.553380,1182,4,paid,tablet,True
313,45.0,2025-12-23T15:42:30.111235,1423,10,referral,tablet,True
314,1417.0,2025-12-22T00:48:45.458548,3417,16,referral,mobile,False
315,1858.0,2025-11-17T18:23:48.828061,2584,11,social,tablet,False
316,550.0,2026-06-04T23:53:06.559721,874,9,paid,desktop,False
317,272.0,2026-04-10T20:18:51.996013,2932,10,organic,tablet,True
318,14.0,2025-09-02T18:02:52.129475,2403,11,email,mobile,False
319,1518.0,2025-10-20T16:54:39.807288,274,2,direct,desktop,False
320,1406.0,2025-07-22T17:38:03.848560,2011,3,organic,tablet,True
321,872.0,2025-08-05T01:35:58.248282,3112,3,referral,tablet,False
322,1410.0,2026-03-17T23:34:23.207711,604,18,social,desktop,False
323,1613.0,2025-08-23T21:55:50.872876,712,3,referral,mobile,False
324,1695.0,2026-02-14T19:33:23.824834,1155,16,referral,tablet,True
325,244.0,2026-05-24T09:51:09.375419,2446,10,email,mobile,False
326,,2025-07-15T09:55:47.650324,3178,6,direct,desktop,True
327,,2025-08-07T20:17:32.741177,499,17,organic,desktop,False
328,1454.0,2025-07-15T12:17:47.984856,1937,17,paid,mobile,True
329,1884.0,2025-12-10T08:55:00.976213,2236,6,direct,tablet,False
330,272.0,2026-02-07T22:48:45.510859,995,9,referral,mobile,False
331,634.0,2026-04-28T03:00:06.524993,1542,4,referral,mobile,False
332,487.0,2025-09-06T11:39:40.860521,144,1,social,mobile,False
333,979.0,2025-08-11T00:50:37.098745,1539,8,email,desktop,False
334,308.0,2026-04-04T10:08:36.694556,735,5,email,desktop,True
335,1292.0,2025-12-20T19:15:56.574120,1072,20,email,desktop,True
336,1320.0,2026-04-15T22:49:26.387912,2883,12,paid,tablet,False
337,230.0,2025-07-21T12:56:53.518542,2770,15,organic,desktop,True
338,1824.0,2025-10-23T22:18:08.559536,1655,2,direct,desktop,False
339,1202.0,2025-10-07T13:36:38.786399,2592,8,organic,desktop,True
340,188.0,2025-09-12T14:37:59.805313,730,8,social,desktop,True
341,1257.0,2026-01-11T06:38:58.739532,522,3,paid,tablet,True
342,,2025-08-25T08:20:48.336021,2228,20,organic,tablet,True
343,1440.0,2026-06-23T14:10:00.756264,564,12,organic,tablet,True
344,,2026-07-05T05:40:00.911544,882,8,organic,desktop,True
345,177.0,2026-03-09T00:54:48.923829,3103,16,organic,tablet,False
346,1673.0,2026-01-22T03:22:14.228911,3456,1,paid,desktop,False
347,318.0,2025-11-14T10:34:15.242693,1367,18,social,desktop,True
348,117.0,2025-12-19T13:00:51.684874,201,19,paid,mobile,False
349,732.0,2026-01-09T04:21:40.955844,2371,19,social,desktop,False
350,1097.0,2025-09-21T05:17:47.316786,254,1,paid,tablet,False
351,552.0,2025-08-15T11:16:16.150032,1900,17,referral,tablet,False
352,1008.0,2026-03-24T09:18:10.995162,576,14,organic,mobile,False
353,1299.0,2026-06-21T20:38:32.256017,1217,18,social,tablet,False
354,420.0,2025-08-29T14:12:46.977021,2115,3,social,tablet,False
355,618.0,2025-07-20T13:42:18.818376,3474,17,social,tablet,False
356,604.0,2026-03-19T20:55:28.732363,229,19,organic,tablet,True
357,1901.0,2025-09-26T15:48:53.727533,2359,15,paid,desktop,False
358,1668.0,2026-01-02T05:23:29.872666,978,13,direct,desktop,True
359,548.0,2026-02-23T23:54:39.626378,2372,6,referral,tablet,False
360,541.0,2025-11-25T16:01:18.815978,3062,10,organic,mobile,True
361,82.0,2025-07-31T05:49:44.504800,1594,14,paid,tablet,True
362,1264.0,2025-12-15T13:15:20.304947,1162,18,paid,desktop,True
363,689.0,2025-10-06T22:40:45.719829,663,10,direct,tablet,True
364,578.0,2026-01-03T19:31:48.547473,2179,11,social,tablet,False
365,609.0,2026-06-03T11:36:06.209950,2096,4,direct,desktop,True
366,1474.0,2026-02-07T11:47:32.422151,2017,12,paid,mobile,True
367,1639.0,2025-09-20T10:31:13.688449,2877,11,social,tablet,False
368,952.0,2026-05-18T19:20:16.828139,742,12,social,tablet,False
369,1695.0,2026-03-12T12:20:43.686893,2003,12,direct,tablet,False
370,232.0,2026-06-02T16:29:14.593319,122,5,referral,mobile,False
371,384.0,2025-09-03T16:59:52.146367,2246,1,email,tablet,True
372,98.0,2026-01-17T00:18:45.281941,747,2,paid,desktop,False
373,,2026-05-19T06:33:21.147257,2458,7,organic,mobile,False
374,,2026-04-27T12:19:09.872106,275,6,email,mobile,False
375,66.0,2025-11-01T08:25:16.499199,1900,19,referral,desktop,False
376,1615.0,2026-04-01T06:57:58.777946,1787,2,direct,desktop,False
377,109.0,2026-01-30T12:53:55.138398,742,3,referral,desktop,True
378,321.0,2025-08-18T22:53:25.668031,1944,13,email,mobile,False
379,1928.0,2025-10-12T20:38:39.619843,1764,10,email,tablet,True
380,520.0,2026-06-25T05:25:30.497856,3479,13,organic,tablet,False
381,181.0,2025-10-04T18:50:53.859566,221,6,referral,desktop,False
382,777.0,2026-06-10T16:05:34.195950,2687,19,direct,mobile,False
383,633.0,2025-10-19T16:22:21.604023,764,14,organic,mobile,False
384,1438.0,2026-01-22T03:49:50.818429,2219,8,direct,desktop,True
385,1374.0,2025-08-21T14:16:52.924356,3354,14,referral,mobile,False
386,1110.0,2025-10-18T22:39:38.142395,3377,10,referral,tablet,False
387,1582.0,2025-07-06T23:38:06.018654,355,11,social,tablet,False
388,1212.0,2026-01-19T14:10:00.874415,3077,18,social,tablet,False
389,579.0,2025-10-21T14:16:38.135533,3229,7,social,tablet,False
390,1649.0,2026-04-08T13:28:30.808888,1578,9,direct,desktop,True
391,901.0,2026-03-30T00:04:07.179941,1572,10,social,mobile,True
392,458.0,2025-12-08T19:31:13.007750,2081,11,social,desktop,True
