transaction_id,customer_id,transaction_date,total_amount,discount_amount,tax_amount,payment_method,status,channel,created_at
37,1443,2025-10-09T15:11:21.056351,186.28,4.82,18.63,credit_card,completed,phone,2026-07-06T09:25:46.139536
38,1934,2026-06-17T19:36:32.326466,96.18,14.36,9.62,paypal,refunded,online,2026-07-06T09:25:46.139617
39,248,2024-07-27T01:53:18.461234,138.04,11.28,13.8,paypal,completed,online,2026-07-06T09:25:46.139705
40,625,2024-12-13T22:32:18.276204,110.97,2.61,11.1,paypal,completed,phone,2026-07-06T09:25:46.139772
41,1606,2026-02-06T04:43:23.900540,4.26,0.12,0.43,bank_transfer,completed,in_store,2026-07-06T09:25:46.139814
42,1678,2025-03-14T02:47:21.972098,329.81,14.22,32.98,bank_transfer,completed,in_store,2026-07-06T09:25:46.139869
43,986,2025-05-17T12:21:59.023616,10.49,0.09,1.05,paypal,completed,in_store,2026-07-06T09:25:46.139923
44,1475,2024-11-09T03:09:52.379838,228.04,21.67,22.8,debit_card,completed,phone,2026-07-06T09:25:46.139986
45,306,2025-02-16T02:15:06.950569,215.12,28.71,21.51,paypal,completed,phone,2026-07-06T09:25:46.140031
46,695,2026-06-28T02:30:29.670993,73.47,13.23,7.35,credit_card,refunded,phone,2026-07-06T09:25:46.140066
47,1774,2025-08-19T09:56:15.369154,199.72,25.8,19.97,debit_card,completed,in_store,2026-07-06T09:25:46.140102
48,1146,2025-12-29T23:57:39.890024,123.5,3.06,12.35,credit_card,completed,online,2026-07-06T09:25:46.140136
49,1538,2025-08-20T04:03:19.887607,473.01,49.36,47.3,bank_transfer,completed,online,2026-07-06T09:25:46.140171
50,369,2026-06-11T17:24:47.922550,19.22,3.6,1.92,credit_card,completed,mobile,2026-07-06T09:25:46.140205
51,1818,2026-02-25T00:32:40.967851,42.21,5.96,4.22,bank_transfer,completed,in_store,2026-07-06T09:25:46.140239
52,1766,2025-08-04T00:10:27.769454,77.07,0.69,7.71,credit_card,completed,mobile,2026-07-06T09:25:46.140272
53,650,2026-03-29T03:49:43.098281,80.41,13.82,8.04,bank_transfer,completed,online,2026-07-06T09:25:46.140336
54,585,2025-02-10T08:55:47.485401,585.21,63.41,58.52,debit_card,completed,online,2026-07-06T09:25:46.140373
55,1390,2025-09-14T05:37:36.629572,25.13,4.79,2.51,debit_card,completed,in_store,2026-07-06T09:25:46.140408
56,611,2024-08-06T11:28:44.324734,30.03,4.28,3.0,bank_transfer,completed,mobile,2026-07-06T09:25:46.140444
57,770,2025-05-02T17:24:36.953057,79.86,5.18,7.99,credit_card,completed,mobile,2026-07-06T09:25:46.140478
58,1010,2025-08-12T16:13:31.370879,209.23,24.52,20.92,bank_transfer,refunded,in_store,2026-07-06T09:25:46.140512
59,834,2025-11-29T23:15:07.503986,9.38,0.87,0.94,credit_card,completed,phone,2026-07-06T09:25:46.140547
60,39,2025-02-26T15:23:33.143218,150.58,27.52,15.06,paypal,completed,online,2026-07-06T09:25:46.140582
61,1609,2026-06-22T22:29:21.772990,42.42,4.71,4.24,debit_card,completed,phone,2026-07-06T09:25:46.140616
62,1025,2024-09-14T23:10:06.816774,88.58,14.99,8.86,debit_card,completed,mobile,2026-07-06T09:25:46.140649
63,1602,2025-04-27T09:47:46.060379,70.09,13.81,7.01,debit_card,completed,phone,2026-07-06T09:25:46.140684
64,86,2025-12-22T18:49:52.448670,487.99,54.18,48.8,credit_card,completed,in_store,2026-07-06T09:25:46.140719
65,124,2024-11-01T23:15:23.694932,158.79,5.32,15.88,bank_transfer,completed,in_store,2026-07-06T09:25:46.140755
66,720,2025-01-28T12:04:45.796467,274.41,20.86,27.44,debit_card,completed,in_store,2026-07-06T09:25:46.140791
67,1154,2026-03-13T23:52:18.751692,6.98,1.03,0.7,credit_card,completed,phone,2026-07-06T09:25:46.140825
68,1485,2026-04-18T16:35:16.410919,179.81,29.87,17.98,paypal,completed,mobile,2026-07-06T09:25:46.140937
69,652,2025-10-15T09:57:45.845577,141.41,27.08,14.14,paypal,completed,phone,2026-07-06T09:25:46.141005
70,659,2025-05-30T23:17:12.246747,47.83,6.34,4.78,paypal,completed,in_store,2026-07-06T09:25:46.141051
71,1324,2026-02-05T01:25:50.286282,2.4,0.33,0.24,credit_card,completed,online,2026-07-06T09:25:46.141087
72,847,2026-06-02T08:38:31.313106,347.57,46.76,34.76,bank_transfer,completed,online,2026-07-06T09:25:46.141122
73,159,2025-02-02T04:08:05.173533,232.18,30.14,23.22,credit_card,completed,phone,2026-07-06T09:25:46.141184
74,1665,2024-09-02T18:06:18.869184,167.32,11.81,16.73,bank_transfer,completed,in_store,2026-07-06T09:25:46.141218
75,1663,2025-10-16T13:30:28.688342,73.35,12.31,7.33,credit_card,completed,in_store,2026-07-06T09:25:46.141254
76,454,2024-12-02T13:16:13.501628,412.91,36.71,41.29,credit_card,completed,in_store,2026-07-06T09:25:46.141288
77,1281,2024-11-28T07:08:02.727706,31.89,5.21,3.19,paypal,completed,mobile,2026-07-06T09:25:46.141336
78,744,2024-09-15T14:32:13.818310,40.04,3.95,4.0,credit_card,completed,mobile,2026-07-06T09:25:46.141398
79,1308,2024-07-06T23:40:55.117883,1.07,0.21,0.11,bank_transfer,completed,in_store,2026-07-06T09:25:46.141496
80,1131,2025-07-15T17:12:33.716100,126.28,12.48,12.63,debit_card,completed,mobile,2026-07-06T09:25:46.141621
81,134,2026-01-23T20:11:48.064479,10.14,0.26,1.01,debit_card,completed,mobile,2026-07-06T09:25:46.141704
82,562,2024-08-28T16:07:02.039137,319.3,46.55,31.93,debit_card,completed,online,2026-07-06T09:25:46.141748
83,1092,2025-04-21T12:16:38.476627,723.34,100.25,72.33,paypal,completed,phone,2026-07-06T09:25:46.141803
84,1379,2026-01-18T18:36:55.555374,0.29,0.02,0.03,credit_card,completed,in_store,2026-07-06T09:25:46.141842
85,562,2025-07-04T09:50:08.531149,84.99,16.91,8.5,credit_card,completed,phone,2026-07-06T09:25:46.141878
86,90,2025-11-19T21:56:57.674366,102.65,10.62,10.27,debit_card,completed,phone,2026-07-06T09:25:46.141914
87,803,2025-10-05T01:49:17.150109,114.02,7.21,11.4,debit_card,completed,online,2026-07-06T09:25:46.141949
88,1413,2025-11-13T06:07:59.855837,694.8,31.35,69.48,bank_transfer,refunded,mobile,2026-07-06T09:25:46.141984
89,129,2025-03-26T02:00:05.603340,32.89,2.17,3.29,credit_card,completed,phone,2026-07-06T09:25:46.142020
90,1283,2024-08-27T21:02:10.212645,247.59,29.34,24.76,paypal,completed,mobile,2026-07-06T09:25:46.142064
91,698,2025-07-11T12:42:39.215547,17.12,0.82,1.71,credit_card,completed,mobile,2026-07-06T09:25:46.142116
92,1269,2026-03-06T00:02:33.670465,431.15,66.89,43.12,bank_transfer,completed,phone,2026-07-06T09:25:46.142236
93,125,2025-11-12T01:07:44.612478,129.75,2.22,12.98,credit_card,completed,online,2026-07-06T09:25:46.142298
94,1644,2026-03-19T04:22:24.456213,228.93,2.84,22.89,bank_transfer,completed,phone,2026-07-06T09:25:46.142348
95,1146,2025-04-08T13:39:04.302838,10.21,1.38,1.02,credit_card,completed,phone,2026-07-06T09:25:46.142395
96,842,2026-04-06T07:37:11.217309,77.05,9.51,7.71,debit_card,completed,online,2026-07-06T09:25:46.142442
97,877,2024-08-06T05:00:08.339079,90.61,8.41,9.06,credit_card,completed,online,2026-07-06T09:25:46.142505
98,395,2025-11-25T15:00:36.810065,90.79,5.96,9.08,credit_card,completed,online,2026-07-06T09:25:46.142608
99,1853,2024-11-21T01:44:20.098165,134.8,22.67,13.48,debit_card,completed,in_store,2026-07-06T09:25:46.142678
100,1272,2025-01-12T03:37:28.383280,65.87,6.34,6.59,bank_transfer,completed,mobile,2026-07-06T09:25:46.142730
101,639,2025-09-09T20:01:01.597155,239.2,2.89,23.92,bank_transfer,completed,in_store,2026-07-06T09:25:46.142779
102,1589,2024-07-29T19:21:41.145411,55.92,9.9,5.59,debit_card,completed,in_store,2026-07-06T09:25:46.142854
103,1988,2026-02-05T02:40:29.642375,138.7,8.07,13.87,credit_card,completed,mobile,2026-07-06T09:25:46.142955
104,1711,2025-11-12T08:56:37.256302,8.85,0.9,0.89,credit_card,completed,mobile,2026-07-06T09:25:46.143027
105,413,2025-07-28T20:42:15.627871,562.68,72.09,56.27,credit_card,completed,phone,2026-07-06T09:25:46.143136
106,1229,2026-06-26T23:06:17.885069,178.01,34.96,17.8,paypal,completed,in_store,2026-07-06T09:25:46.143236
107,333,2025-03-01T11:02:33.550887,143.61,12.03,14.36,credit_card,completed,online,2026-07-06T09:25:46.143329
108,1309,2026-05-02T20:24:32.488868,102.76,18.91,10.28,debit_card,completed,phone,2026-07-06T09:25:46.143408
109,1505,2025-08-04T05:56:40.179617,146.69,7.01,14.67,paypal,completed,phone,2026-07-06T09:25:46.143516
110,14,2025-10-12T08:21:51.941736,34.47,1.27,3.45,paypal,completed,in_store,2026-07-06T09:25:46.143611
111,596,2025-06-24T12:22:02.539560,4.57,0.11,0.46,bank_transfer,completed,in_store,2026-07-06T09:25:46.143674
112,406,2026-02-03T13:16:02.100156,6.73,0.04,0.67,paypal,completed,in_store,2026-07-06T09:25:46.143735
113,1136,2025-09-23T14:01:27.582133,190.32,12.93,19.03,debit_card,completed,online,2026-07-06T09:25:46.143795
114,208,2026-02-24T02:20:50.206378,29.05,1.52,2.91,credit_card,completed,mobile,2026-07-06T09:25:46.143864
115,228,2025-08-07T12:51:01.325648,71.44,11.25,7.14,paypal,refunded,in_store,2026-07-06T09:25:46.143971
116,763,2024-11-22T23:11:57.235608,91.38,6.76,9.14,debit_card,refunded,phone,2026-07-06T09:25:46.144040
117,296,2024-07-23T05:31:50.975842,316.04,4.13,31.6,debit_card,completed,mobile,2026-07-06T09:25:46.144098
118,652,2025-06-01T05:34:40.796645,114.07,15.84,11.41,bank_transfer,cancelled,mobile,2026-07-06T09:25:46.144153
119,1203,2024-12-03T12:02:11.358685,380.77,58.11,38.08,debit_card,completed,in_store,2026-07-06T09:25:46.144208
120,110,2024-09-04T05:06:12.477358,233.8,15.32,23.38,paypal,completed,phone,2026-07-06T09:25:46.144295
121,964,2024-08-12T17:02:24.256810,35.21,0.57,3.52,credit_card,completed,phone,2026-07-06T09:25:46.144390
122,1043,2026-06-12T09:44:18.865581,208.73,26.93,20.87,paypal,completed,phone,2026-07-06T09:25:46.144485
123,1077,2026-02-03T01:45:23.071251,29.58,4.22,2.96,bank_transfer,completed,phone,2026-07-06T09:25:46.144623
124,1307,2025-05-01T01:18:45.267309,96.3,11.19,9.63,credit_card,completed,mobile,2026-07-06T09:25:46.144758
125,448,2025-10-18T05:11:22.879169,90.24,4.23,9.02,paypal,completed,phone,2026-07-06T09:25:46.144852
126,767,2025-02-14T08:12:14.960296,127.07,23.77,12.71,paypal,completed,mobile,2026-07-06T09:25:46.144910
127,1063,2025-03-22T01:39:28.609412,208.92,12.33,20.89,paypal,completed,online,2026-07-06T09:25:46.144964
128,873,2025-11-23T08:03:18.478757,93.89,11.66,9.39,bank_transfer,completed,phone,2026-07-06T09:25:46.145021
129,560,2025-06-04T16:17:15.834186,68.71,6.84,6.87,bank_transfer,completed,phone,2026-07-06T09:25:46.145076
130,736,2025-07-21T03:05:54.690809,39.94,5.16,3.99,credit_card,completed,online,2026-07-06T09:25:46.145135
131,202,2026-05-28T22:33:09.236516,231.18,42.84,23.12,credit_card,completed,online,2026-07-06T09:25:46.145189
132,1383,2024-08-31T15:05:28.766531,118.46,7.91,11.85,paypal,completed,in_store,2026-07-06T09:25:46.145243
133,283,2024-11-20T21:01:52.772059,31.73,3.83,3.17,paypal,completed,in_store,2026-07-06T09:25:46.145297
134,828,2026-06-18T04:05:55.164758,49.66,3.44,4.97,bank_transfer,completed,online,2026-07-06T09:25:46.145789
135,1559,2025-12-15T21:47:57.995504,95.8,9.82,9.58,debit_card,completed,mobile,2026-07-06T09:25:46.145935
136,972,2025-03-17T21:43:27.493727,38.61,5.78,3.86,debit_card,completed,phone,2026-07-06T09:25:46.146529
137,1622,2025-10-26T12:33:02.680317,192.3,17.75,19.23,credit_card,completed,mobile,2026-07-06T09:25:46.146694
138,856,2026-05-12T00:32:49.771124,84.0,15.82,8.4,debit_card,completed,online,2026-07-06T09:25:46.146756
139,263,2024-07-16T07:52:03.290819,70.43,8.13,7.04,paypal,refunded,online,2026-07-06T09:25:46.146812
140,727,2024-08-16T18:21:30.792303,103.91,13.69,10.39,paypal,completed,phone,2026-07-06T09:25:46.146961
141,1595,2024-08-27T10:22:04.752096,173.64,14.01,17.36,paypal,completed,online,2026-07-06T09:25:46.147192
142,285,2024-09-17T16:11:31.395830,125.75,0.81,12.58,debit_card,cancelled,in_store,2026-07-06T09:25:46.147277
143,1872,2025-12-06T20:35:48.584260,125.97,20.13,12.6,bank_transfer,cancelled,mobile,2026-07-06T09:25:46.147456
144,792,2025-12-06T04:15:22.814590,445.49,5.68,44.55,debit_card,completed,in_store,2026-07-06T09:25:46.147526
145,1833,2024-08-29T16:09:46.485867,126.43,11.42,12.64,paypal,completed,online,2026-07-06T09:25:46.147577
146,1693,2026-04-08T17:49:13.113408,168.54,5.99,16.85,bank_transfer,completed,mobile,2026-07-06T09:25:46.147631
147,582,2024-07-07T15:11:57.177212,10.8,2.08,1.08,debit_card,completed,online,2026-07-06T09:25:46.147679
148,23,2026-06-13T06:24:16.023184,90.95,6.71,9.1,debit_card,completed,phone,2026-07-06T09:25:46.147727
149,265,2025-07-16T21:28:41.880581,74.42,14.73,7.44,bank_transfer,completed,online,2026-07-06T09:25:46.147776
150,423,2025-03-24T06:56:45.447262,73.9,13.36,7.39,debit_card,completed,in_store,2026-07-06T09:25:46.147823
151,973,2025-12-19T19:35:17.775497,84.9,12.05,8.49,debit_card,completed,in_store,2026-07-06T09:25:46.147957
152,1403,2024-09-23T15:34:46.929928,132.82,13.35,13.28,bank_transfer,completed,online,2026-07-06T09:25:46.148023
153,1689,2026-03-19T01:30:09.600600,708.0,63.12,70.8,bank_transfer,completed,mobile,2026-07-06T09:25:46.148074
154,1801,2026-06-11T04:28:43.692731,111.94,20.38,11.19,bank_transfer,completed,online,2026-07-06T09:25:46.148125
155,1805,2024-10-12T15:32:35.411844,200.51,11.55,20.05,bank_transfer,completed,in_store,2026-07-06T09:25:46.148177
156,1741,2024-11-23T09:16:59.705023,74.41,12.25,7.44,debit_card,completed,mobile,2026-07-06T09:25:46.148676
157,938,2025-01-05T03:27:56.096030,345.33,50.64,34.53,bank_transfer,refunded,mobile,2026-07-06T09:25:46.148789
158,1431,2026-05-12T18:47:46.745623,179.86,3.44,17.99,credit_card,completed,mobile,2026-07-06T09:25:46.148851
159,598,2024-07-12T01:03:11.240676,47.98,6.03,4.8,credit_card,completed,mobile,2026-07-06T09:25:46.148906
160,1561,2025-12-17T14:38:20.260846,359.1,29.54,35.91,credit_card,cancelled,online,2026-07-06T09:25:46.148958
161,1597,2025-01-29T16:16:18.626465,211.22,21.31,21.12,paypal,completed,mobile,2026-07-06T09:25:46.149009
162,947,2025-02-28T13:56:45.152488,43.71,4.42,4.37,credit_card,completed,phone,2026-07-06T09:25:46.149060
163,1753,2025-02-23T10:39:19.347273,71.99,10.74,7.2,debit_card,completed,online,2026-07-06T09:25:46.149113
164,280,2026-04-12T17:17:43.189366,43.27,6.14,4.33,paypal,completed,phone,2026-07-06T09:25:46.149163
165,1124,2025-11-29T01:02:04.444395,99.47,1.36,9.95,debit_card,completed,phone,2026-07-06T09:25:46.149330
166,1724,2025-04-13T06:49:31.474432,22.67,3.72,2.27,debit_card,completed,online,2026-07-06T09:25:46.149439
167,255,2025-02-26T23:56:34.758926,140.09,4.97,14.01,bank_transfer,completed,online,2026-07-06T09:25:46.150371
168,734,2025-03-26T17:17:56.955051,169.69,5.21,16.97,debit_card,completed,online,2026-07-06T09:25:46.150470
169,906,2024-09-01T02:55:53.637267,334.8,35.64,33.48,credit_card,completed,online,2026-07-06T09:25:46.150511
170,108,2025-01-18T08:39:45.907604,74.3,4.58,7.43,credit_card,completed,phone,2026-07-06T09:25:46.150548
171,768,2026-05-21T04:52:22.492518,218.58,40.6,21.86,debit_card,completed,online,2026-07-06T09:25:46.150583
172,691,2025-11-02T08:09:28.419015,82.14,16.25,8.21,debit_card,completed,online,2026-07-06T09:25:46.150617
173,1633,2025-12-11T07:22:54.029428,37.38,6.6,3.74,debit_card,completed,online,2026-07-06T09:25:46.150654
174,670,2025-11-23T16:24:40.028299,80.6,1.74,8.06,paypal,completed,mobile,2026-07-06T09:25:46.150797
175,810,2025-12-23T18:04:31.065817,146.99,27.47,14.7,bank_transfer,completed,mobile,2026-07-06T09:25:46.150903
176,31,2025-08-21T21:22:49.960691,16.79,1.09,1.68,bank_transfer,completed,online,2026-07-06T09:25:46.150964
177,136,2025-05-27T07:19:17.934510,73.94,6.78,7.39,paypal,completed,in_store,2026-07-06T09:25:46.151086
178,842,2024-08-20T16:28:47.361265,6.74,1.19,0.67,paypal,completed,phone,2026-07-06T09:25:46.151151
179,1099,2026-03-11T18:27:44.515650,612.09,12.46,61.21,debit_card,completed,online,2026-07-06T09:25:46.151191
180,1427,2025-09-26T01:52:37.987626,137.39,26.97,13.74,bank_transfer,completed,mobile,2026-07-06T09:25:46.151229
181,1811,2025-11-01T00:12:01.534598,60.53,7.69,6.05,paypal,cancelled,phone,2026-07-06T09:25:46.151265
182,1868,2024-10-02T09:58:58.819033,10.49,0.04,1.05,bank_transfer,completed,mobile,2026-07-06T09:25:46.151300
183,28,2024-10-20T07:21:26.542538,105.0,14.8,10.5,debit_card,completed,online,2026-07-06T09:25:46.151336
184,1551,2025-01-08T17:34:06.266330,55.41,8.18,5.54,debit_card,completed,online,2026-07-06T09:25:46.151370
185,414,2025-07-03T09:58:16.374443,22.2,2.21,2.22,debit_card,completed,online,2026-07-06T09:25:46.151404
186,1938,2025-05-16T23:35:59.188635,40.78,5.92,4.08,bank_transfer,completed,in_store,2026-07-06T09:25:46.151438
187,1612,2024-09-24T18:20:47.048558,21.63,1.37,2.16,credit_card,completed,phone,2026-07-06T09:25:46.151472
188,49,2026-04-13T06:10:28.348620,156.64,9.04,15.66,debit_card,completed,in_store,2026-07-06T09:25:46.151506
189,111,2025-02-15T19:55:49.055784,62.95,2.59,6.3,debit_card,completed,mobile,2026-07-06T09:25:46.151541
190,659,2026-06-14T03:06:08.967736,140.5,10.72,14.05,debit_card,completed,online,2026-07-06T09:25:46.151577
191,1954,2024-10-29T00:00:10.073748,10.02,0.99,1.0,debit_card,completed,mobile,2026-07-06T09:25:46.151612
192,356,2026-01-04T20:54:48.119449,417.76,10.49,41.78,debit_card,completed,online,2026-07-06T09:25:46.151650
193,337,2024-08-02T12:19:13.409195,83.33,7.78,8.33,debit_card,completed,mobile,2026-07-06T09:25:46.151684
194,1181,2025-04-28T15:37:01.993471,139.65,8.47,13.97,bank_transfer,cancelled,mobile,2026-07-06T09:25:46.151719
195,164,2025-03-13T07:29:02.604030,47.59,7.44,4.76,paypal,completed,mobile,2026-07-06T09:25:46.151752
196,1249,2026-01-09T23:36:22.892314,95.43,8.07,9.54,bank_transfer,completed,phone,2026-07-06T09:25:46.151786
197,1750,2026-05-17T07:07:33.932577,3.0,0.23,0.3,credit_card,completed,in_store,2026-07-06T09:25:46.152068
198,1489,2025-05-02T09:05:00.855449,135.65,4.15,13.57,debit_card,completed,phone,2026-07-06T09:25:46.152149
199,1152,2024-08-30T17:14:19.105481,54.76,3.1,5.48,bank_transfer,completed,mobile,2026-07-06T09:25:46.152200
200,1877,2024-10-04T02:10:25.002101,188.22,7.37,18.82,debit_card,completed,in_store,2026-07-06T09:25:46.152249
201,1926,2026-02-23T07:16:38.602898,101.43,18.78,10.14,bank_transfer,cancelled,in_store,2026-07-06T09:25:46.152297
202,1205,2025-05-03T13:12:45.404768,72.69,4.47,7.27,credit_card,completed,online,2026-07-06T09:25:46.152346
203,1910,2025-12-09T17:36:35.534585,733.38,18.26,73.34,debit_card,completed,phone,2026-07-06T09:25:46.152392
204,1540,2025-02-09T00:18:35.280303,472.32,72.86,47.23,paypal,completed,phone,2026-07-06T09:25:46.152440
205,119,2024-09-08T05:25:11.105118,151.17,11.13,15.12,bank_transfer,refunded,mobile,2026-07-06T09:25:46.152485
206,1666,2025-12-01T05:12:50.034748,41.63,0.29,4.16,paypal,completed,online,2026-07-06T09:25:46.152534
207,536,2025-10-14T07:27:25.974764,179.34,23.15,17.93,bank_transfer,refunded,mobile,2026-07-06T09:25:46.152608
208,1950,2024-07-07T06:16:28.123626,44.01,5.3,4.4,debit_card,completed,online,2026-07-06T09:25:46.152705
209,815,2024-08-21T20:50:51.057577,155.09,28.44,15.51,credit_card,completed,mobile,2026-07-06T09:25:46.152774
210,875,2025-12-06T06:24:46.731012,313.13,10.38,31.31,paypal,completed,phone,2026-07-06T09:25:46.152826
211,1542,2024-12-13T01:42:38.276573,132.31,19.42,13.23,credit_card,completed,in_store,2026-07-06T09:25:46.152875
212,430,2025-11-26T07:46:22.167018,252.49,13.59,25.25,bank_transfer,completed,online,2026-07-06T09:25:46.152923
213,4,2024-10-03T10:36:53.801409,651.72,106.41,65.17,credit_card,completed,phone,2026-07-06T09:25:46.152970
214,1502,2025-06-03T02:29:00.969744,111.65,14.62,11.17,bank_transfer,completed,in_store,2026-07-06T09:25:46.153019
215,997,2026-02-28T23:46:57.665380,30.94,0.83,3.09,debit_card,completed,online,2026-07-06T09:25:46.153065
216,381,2025-03-09T06:35:03.363889,89.86,14.64,8.99,debit_card,completed,mobile,2026-07-06T09:25:46.153110
217,1848,2025-04-01T05:24:30.641674,248.46,9.54,24.85,bank_transfer,completed,online,2026-07-06T09:25:46.153157
218,601,2026-06-26T20:36:27.635545,304.15,10.11,30.41,credit_card,completed,in_store,2026-07-06T09:25:46.153205
219,481,2025-10-24T02:50:16.942986,9.96,0.06,1.0,bank_transfer,completed,online,2026-07-06T09:25:46.153251
220,1957,2026-04-28T11:55:19.542338,1.43,0.08,0.14,credit_card,completed,online,2026-07-06T09:25:46.153357
221,15,2024-11-19T08:05:35.845550,15.28,1.6,1.53,bank_transfer,completed,in_store,2026-07-06T09:25:46.153470
222,691,2025-08-10T11:21:30.063842,403.52,38.19,40.35,bank_transfer,completed,in_store,2026-07-06T09:25:46.153743
223,1928,2025-10-21T15:10:05.713340,1124.52,183.71,112.45,paypal,completed,phone,2026-07-06T09:25:46.153891
224,1789,2026-06-24T22:55:36.495564,141.55,27.61,14.16,paypal,completed,online,2026-07-06T09:25:46.153951
225,1486,2024-11-23T06:45:01.305766,91.57,12.79,9.16,debit_card,completed,online,2026-07-06T09:25:46.154001
226,1433,2025-07-09T18:17:43.311201,304.89,17.04,30.49,debit_card,completed,phone,2026-07-06T09:25:46.154073
227,7,2024-09-16T13:15:30.989917,108.51,14.33,10.85,paypal,completed,in_store,2026-07-06T09:25:46.154144
228,1507,2024-12-28T20:17:11.866080,310.05,60.12,31.01,paypal,completed,mobile,2026-07-06T09:25:46.154233
229,1255,2025-01-27T13:55:30.385487,140.0,11.2,14.0,credit_card,completed,phone,2026-07-06T09:25:46.154292
230,1854,2026-04-17T17:14:31.564047,649.95,111.41,65.0,credit_card,completed,in_store,2026-07-06T09:25:46.154345
231,1782,2024-11-10T21:42:36.761498,140.16,19.96,14.02,credit_card,completed,online,2026-07-06T09:25:46.154395
